t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)
0,000	46,100	50,100	9,620E+1	0,000E+0	1,783E+2	1,781E+2	0,000E+0	4,314E-1	4,283E-1	0,000E+0
0,000	46,500	50,900	9,740E+1	0,000E+0	1,786E+2	1,783E+2	0,000E+0	4,371E-1	4,327E-1	0,000E+0
0,000	46,800	51,000	9,780E+1	0,000E+0	1,785E+2	1,780E+2	0,000E+0	4,384E-1	4,349E-1	0,000E+0
0,000	46,800	50,800	9,760E+1	0,000E+0	1,787E+2	1,782E+2	0,000E+0	4,375E-1	4,330E-1	0,000E+0
0,000	46,500	50,900	9,740E+1	0,000E+0	1,784E+2	1,785E+2	0,000E+0	4,369E-1	4,328E-1	0,000E+0
0,000	47,100	51,100	9,820E+1	0,000E+0	1,786E+2	1,780E+2	0,000E+0	4,404E-1	4,357E-1	0,000E+0
0,000	46,800	51,400	9,820E+1	0,000E+0	1,784E+2	1,785E+2	0,000E+0	4,401E-1	4,365E-1	0,000E+0
0,000	46,800	51,400	9,820E+1	0,000E+0	1,784E+2	1,785E+2	0,000E+0	4,401E-1	4,365E-1	0,000E+0
0,000	47,000	51,600	9,860E+1	0,000E+0	1,786E+2	1,786E+2	0,000E+0	4,419E-1	4,384E-1	0,000E+0
0,000	47,200	51,600	9,880E+1	0,000E+0	1,786E+2	1,783E+2	0,000E+0	4,425E-1	4,392E-1	0,000E+0
0,000	50,900	57,600	1,085E+2	0,000E+0	1,791E+2	1,791E+2	0,000E+0	5,022E-1	4,962E-1	0,000E+0
0,000	85,400	117,100	2,025E+2	0,000E+0	1,864E+2	1,860E+2	0,000E+0	9,245E-1	9,141E-1	0,000E+0
0,000	81,700	110,300	1,920E+2	0,000E+0	1,882E+2	1,877E+2	0,000E+0	8,580E-1	8,465E-1	0,000E+0
0,000	74,900	95,700	1,706E+2	0,000E+0	1,850E+2	1,847E+2	0,000E+0	7,593E-1	7,509E-1	0,000E+0
0,000	77,300	99,800	1,771E+2	0,000E+0	1,857E+2	1,852E+2	0,000E+0	7,915E-1	7,809E-1	0,000E+0
0,000	80,600	107,200	1,878E+2	0,000E+0	1,868E+2	1,864E+2	0,000E+0	8,378E-1	8,285E-1	0,000E+0
0,000	80,700	106,700	1,874E+2	0,000E+0	1,869E+2	1,865E+2	0,000E+0	8,314E-1	8,233E-1	0,000E+0
0,000	80,600	106,800	1,874E+2	0,000E+0	1,865E+2	1,863E+2	0,000E+0	8,310E-1	8,241E-1	0,000E+0
0,000	80,600	106,800	1,874E+2	0,000E+0	1,865E+2	1,863E+2	0,000E+0	8,310E-1	8,241E-1	0,000E+0
0,000	81,700	110,300	1,920E+2	0,000E+0	1,869E+2	1,871E+2	0,000E+0	8,521E-1	8,462E-1	0,000E+0
0,000	82,900	110,600	1,935E+2	0,000E+0	1,875E+2	1,868E+2	0,000E+0	8,585E-1	8,521E-1	0,000E+0
0,000	82,700	110,600	1,933E+2	0,000E+0	1,874E+2	1,870E+2	0,000E+0	8,587E-1	8,496E-1	0,000E+0
0,000	82,700	111,200	1,939E+2	0,000E+0	1,872E+2	1,872E+2	0,000E+0	8,599E-1	8,526E-1	0,000E+0
0,000	83,100	111,500	1,946E+2	0,000E+0	1,874E+2	1,871E+2	0,000E+0	8,640E-1	8,557E-1	0,000E+0
0,000	83,100	111,500	1,946E+2	0,000E+0	1,874E+2	1,871E+2	0,000E+0	8,640E-1	8,557E-1	0,000E+0
0,000	83,500	112,200	1,957E+2	0,000E+0	1,876E+2	1,871E+2	0,000E+0	8,689E-1	8,606E-1	0,000E+0
0,000	83,600	112,800	1,964E+2	0,000E+0	1,876E+2	1,874E+2	0,000E+0	8,722E-1	8,633E-1	0,000E+0
0,000	83,800	112,900	1,967E+2	0,000E+0	1,878E+2	1,874E+2	0,000E+0	8,744E-1	8,639E-1	0,000E+0
0,000	83,800	113,200	1,970E+2	0,000E+0	1,877E+2	1,871E+2	0,000E+0	8,739E-1	8,675E-1	0,000E+0
0,000	84,000	113,600	1,976E+2	0,000E+0	1,878E+2	1,874E+2	0,000E+0	8,775E-1	8,685E-1	0,000E+0
0,000	84,300	113,800	1,981E+2	0,000E+0	1,877E+2	1,875E+2	0,000E+0	8,781E-1	8,700E-1	0,000E+0
0,000	84,300	113,800	1,981E+2	0,000E+0	1,877E+2	1,875E+2	0,000E+0	8,781E-1	8,700E-1	0,000E+0
0,000	83,900	114,200	1,981E+2	0,000E+0	1,882E+2	1,879E+2	0,000E+0	8,781E-1	8,718E-1	0,000E+0
0,000	84,500	113,900	1,984E+2	0,000E+0	1,884E+2	1,879E+2	0,000E+0	8,827E-1	8,707E-1	0,000E+0
0,000	84,500	113,900	1,984E+2	0,000E+0	1,884E+2	1,879E+2	0,000E+0	8,827E-1	8,707E-1	0,000E+0
0,000	84,300	114,800	1,991E+2	0,000E+0	1,879E+2	1,878E+2	0,000E+0	8,825E-1	8,761E-1	0,000E+0
