Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
248	-1,2207	248	307,617	248	-3,66211
249	1,2207	249	308,838	249	-1,2207
250	2,44141	250	307,617	250	-1,2207
251	0	251	306,396	251	0
252	2,44141	252	307,617	252	0
253	-1,2207	253	307,617	253	-1,2207
254	0	254	307,617	254	0
255	0	255	310,059	255	-1,2207
256	-1,2207	256	310,059	256	-2,44141
257	-1,2207	257	307,617	257	-2,44141
258	1,2207	258	307,617	258	-1,2207
259	-1,2207	259	308,838	259	-3,66211
260	0	260	306,396	260	-2,44141
261	0	261	307,617	261	-1,2207
262	2,44141	262	307,617	262	-2,44141
263	-1,2207	263	307,617	263	-2,44141
264	0	264	307,617	264	-1,2207
265	0	265	308,838	265	-3,66211
266	1,2207	266	307,617	266	0
267	1,2207	267	307,617	267	2,44141
268	1,2207	268	308,838	268	-1,2207
269	-1,2207	269	307,617	269	-1,2207
270	0	270	307,617	270	0
271	0	271	307,617	271	-1,2207
272	0	272	308,838	272	-2,44141
273	1,2207	273	307,617	273	-1,2207
274	-1,2207	274	308,838	274	-3,66211
275	-4,88281	275	308,838	275	-2,44141
276	-2,44141	276	310,059	276	-1,2207
277	-3,66211	277	307,617	277	-1,2207
278	-2,44141	278	307,617	278	-2,44141
279	-1,2207	279	307,617	279	-2,44141
280	-4,88281	280	307,617	280	-1,2207
281	-3,66211	281	307,617	281	-2,44141
282	-1,2207	282	307,617	282	-1,2207
283	-1,2207	283	307,617	283	-2,44141
284	-4,88281	284	307,617	284	-2,44141
285	-4,88281	285	310,059	285	-4,88281
286	-4,88281	286	310,059	286	-1,2207
287	-7,32422	287	308,838	287	0
288	-7,32422	288	308,838	288	-1,2207
289	-7,32422	289	307,617	289	-1,2207
290	-6,10352	290	308,838	290	-2,44141
291	-7,32422	291	307,617	291	-2,44141
292	-4,88281	292	307,617	292	-1,2207
293	-7,32422	293	307,617	293	-1,2207
294	-3,66211	294	307,617	294	-2,44141
295	-6,10352	295	308,838	295	-2,44141
296	-4,88281	296	307,617	296	-1,2207
297	-3,66211	297	308,838	297	-1,2207
298	-4,88281	298	308,838	298	0
299	-3,66211	299	308,838	299	-1,2207
300	-4,88281	300	308,838	300	-3,66211
301	-2,44141	301	307,617	301	-2,44141
302	-1,2207	302	307,617	302	-2,44141
303	-4,88281	303	307,617	303	-2,44141
304	-3,66211	304	308,838	304	-2,44141
305	-3,66211	305	307,617	305	0
306	-2,44141	306	307,617	306	0
307	-1,2207	307	307,617	307	-1,2207
308	-2,44141	308	307,617	308	-1,2207
309	-2,44141	309	307,617	309	-1,2207
310	-2,44141	310	310,059	310	-2,44141
311	-3,66211	311	308,838	311	-1,2207
312	-1,2207	312	307,617	312	-1,2207
313	-4,88281	313	308,838	313	0
314	-3,66211	314	307,617	314	0
315	-4,88281	315	308,838	315	-3,66211
316	-4,88281	316	308,838	316	-1,2207
317	-4,88281	317	307,617	317	-1,2207
318	-7,32422	318	307,617	318	0
319	-4,88281	319	307,617	319	-1,2207
320	-6,10352	320	307,617	320	-1,2207
321	-6,10352	321	307,617	321	0
322	-4,88281	322	306,396	322	-1,2207
323	-7,32422	323	308,838	323	-2,44141
324	-7,32422	324	306,396	324	0
325	-6,10352	325	308,838	325	-1,2207
326	-4,88281	326	307,617	326	-2,44141
327	-2,44141	327	307,617	327	-2,44141
328	-4,88281	328	307,617	328	0
329	-4,88281	329	308,838	329	-2,44141
330	-6,10352	330	307,617	330	-2,44141
331	-4,88281	331	308,838	331	0
332	-2,44141	332	307,617	332	-1,2207
333	-4,88281	333	307,617	333	-2,44141
334	-3,66211	334	307,617	334	-1,2207
335	-4,88281	335	308,838	335	0
336	-6,10352	336	307,617	336	0
337	-3,66211	337	307,617	337	-2,44141
338	-4,88281	338	307,617	338	-1,2207
339	-3,66211	339	308,838	339	0
340	-4,88281	340	307,617	340	-2,44141
341	-3,66211	341	307,617	341	-2,44141
342	-4,88281	342	307,617	342	-1,2207
343	-3,66211	343	308,838	343	0
344	-2,44141	344	307,617	344	-2,44141
345	-2,44141	345	310,059	345	-3,66211
346	-4,88281	346	307,617	346	-1,2207
347	-2,44141	347	307,617	347	0
348	-3,66211	348	307,617	348	-1,2207
349	-4,88281	349	308,838	349	-2,44141
350	-4,88281	350	308,838	350	-1,2207
351	-7,32422	351	307,617	351	-1,2207
352	-4,88281	352	308,838	352	-2,44141
353	-4,88281	353	305,176	353	-2,44141
354	-4,88281	354	307,617	354	-2,44141
355	-6,10352	355	310,059	355	-2,44141
356	-3,66211	356	308,838	356	0
357	-4,88281	357	307,617	357	-2,44141
358	-4,88281	358	307,617	358	-2,44141
359	-4,88281	359	307,617	359	-1,2207
360	-4,88281	360	307,617	360	-1,2207
361	-3,66211	361	307,617	361	-1,2207
362	-7,32422	362	307,617	362	-1,2207
363	-7,32422	363	307,617	363	-1,2207
364	-3,66211	364	307,617	364	-1,2207
365	-2,44141	365	307,617	365	-1,2207
366	-7,32422	366	307,617	366	-1,2207
367	-3,66211	367	307,617	367	-2,44141
368	-4,88281	368	307,617	368	-1,2207
369	-3,66211	369	308,838	369	-2,44141
370	-4,88281	370	307,617	370	-1,2207
371	-3,66211	371	307,617	371	-2,44141
372	-3,66211	372	310,059	372	-1,2207
373	-3,66211	373	310,059	373	0
374	-7,32422	374	307,617	374	-2,44141
375	-3,66211	375	307,617	375	-3,66211
376	-4,88281	376	308,838	376	-3,66211
377	-3,66211	377	307,617	377	-1,2207
378	-3,66211	378	308,838	378	-1,2207
379	-3,66211	379	307,617	379	-1,2207
380	-3,66211	380	307,617	380	-2,44141
381	-2,44141	381	307,617	381	-2,44141
382	-2,44141	382	307,617	382	-2,44141
383	-1,2207	383	306,396	383	-1,2207
384	-2,44141	384	307,617	384	-1,2207
385	-2,44141	385	307,617	385	-2,44141
386	-2,44141	386	307,617	386	0
387	-3,66211	387	310,059	387	-1,2207
388	-3,66211	388	306,396	388	0
389	-4,88281	389	307,617	389	-2,44141
390	-2,44141	390	307,617	390	-1,2207
391	-4,88281	391	307,617	391	-1,2207
392	-128,174	392	310,059	392	1,2207
393	-113,525	393	307,617	393	3,66211
394	-111,084	394	307,617	394	3,66211
395	-111,084	395	307,617	395	1,2207
396	-114,746	396	307,617	396	2,44141
397	-115,967	397	307,617	397	2,44141
398	-124,512	398	308,838	398	2,44141
399	-133,057	399	307,617	399	1,2207
400	-25,6348	400	307,617	400	0
401	-59,8145	401	307,617	401	1,2207
402	-68,3594	402	307,617	402	-1,2207
403	-78,125	403	307,617	403	-2,44141
404	-85,4492	404	307,617	404	-2,44141
405	-85,4492	405	307,617	405	-2,44141
406	-80,5664	406	307,617	406	-1,2207
407	-69,5801	407	310,059	407	-2,44141
408	-58,5937	408	308,838	408	-3,66211
409	-39,0625	409	307,617	409	-2,44141
410	-24,4141	410	307,617	410	-2,44141
411	-7,32422	411	307,617	411	-1,2207
412	-2,44141	412	307,617	412	-2,44141
413	1,2207	413	307,617	413	-1,2207
414	0	414	307,617	414	0
415	1,2207	415	307,617	415	-1,2207
416	1,2207	416	307,617	416	-1,2207
417	1,2207	417	307,617	417	-1,2207
418	1,2207	418	307,617	418	-1,2207
419	0	419	307,617	419	-1,2207
420	0	420	308,838	420	-3,66211
421	1,2207	421	307,617	421	0
422	2,44141	422	307,617	422	-1,2207
423	-1,2207	423	307,617	423	-1,2207
424	1,2207	424	307,617	424	0
425	0	425	308,838	425	-2,44141
426	0	426	308,838	426	-3,66211
427	-1,2207	427	307,617	427	-2,44141
428	0	428	307,617	428	-2,44141
429	-1,2207	429	307,617	429	-2,44141
430	0	430	308,838	430	-1,2207
431	0	431	307,617	431	-1,2207
432	1,2207	432	308,838	432	-1,2207
433	0	433	307,617	433	0
434	1,2207	434	308,838	434	-1,2207
435	3,66211	435	307,617	435	-1,2207
436	0	436	307,617	436	-1,2207
437	1,2207	437	307,617	437	-1,2207
438	-1,2207	438	308,838	438	0
439	1,2207	439	308,838	439	-1,2207
440	0	440	308,838	440	0
441	1,2207	441	307,617	441	-1,2207
442	1,2207	442	307,617	442	-2,44141
443	-1,2207	443	310,059	443	0
444	-1,2207	444	307,617	444	0
445	2,44141	445	307,617	445	1,2207
446	1,2207	446	308,838	446	-3,66211
447	1,2207	447	307,617	447	0
448	-1,2207	448	307,617	448	0
449	2,44141	449	307,617	449	-1,2207
450	1,2207	450	307,617	450	0
451	0	451	307,617	451	-2,44141
452	-1,2207	452	307,617	452	-2,44141
453	0	453	308,838	453	0
454	0	454	307,617	454	-2,44141
455	-1,2207	455	307,617	455	-2,44141
456	1,2207	456	307,617	456	-2,44141
457	2,44141	457	307,617	457	-2,44141
458	-3,66211	458	307,617	458	-1,2207
459	0	459	307,617	459	-2,44141
460	-1,2207	460	307,617	460	-1,2207
461	0	461	307,617	461	-2,44141
462	0	462	307,617	462	-1,2207
463	0	463	307,617	463	-2,44141
464	1,2207	464	308,838	464	0
465	3,66211	465	307,617	465	-6,10352
466	0	466	308,838	466	-1,2207
467	0	467	308,838	467	-1,2207
468	2,44141	468	307,617	468	-1,2207
469	0	469	308,838	469	-3,66211
470	1,2207	470	307,617	470	-2,44141
471	0	471	308,838	471	-1,2207
472	1,2207	472	308,838	472	-2,44141
473	0	473	308,838	473	-2,44141
474	-2,44141	474	308,838	474	-1,2207
475	-1,2207	475	307,617	475	-1,2207
476	-1,2207	476	303,955	476	0
477	-3,66211	477	307,617	477	-1,2207
478	-4,88281	478	307,617	478	-2,44141
479	-2,44141	479	307,617	479	-1,2207
480	-4,88281	480	307,617	480	-2,44141
481	-1,2207	481	307,617	481	-3,66211
482	-3,66211	482	308,838	482	-2,44141
483	-2,44141	483	307,617	483	-2,44141
484	-4,88281	484	308,838	484	-1,2207
485	-4,88281	485	307,617	485	-1,2207
486	-4,88281	486	307,617	486	-1,2207
487	-4,88281	487	306,396	487	-2,44141
488	-7,32422	488	307,617	488	-1,2207
489	-6,10352	489	307,617	489	-1,2207
490	-7,32422	490	308,838	490	0
491	-6,10352	491	307,617	491	-2,44141
492	-6,10352	492	310,059	492	-3,66211
493	-4,88281	493	308,838	493	-4,88281
494	-4,88281	494	306,396	494	-2,44141
495	-3,66211	495	307,617	495	-1,2207
496	-4,88281	496	307,617	496	-2,44141
497	-3,66211	497	305,176	497	-2,44141
498	-2,44141	498	307,617	498	-2,44141
499	-3,66211	499	307,617	499	-1,2207
500	-2,44141	500	308,838	500	-3,66211
501	-2,44141	501	307,617	501	0
502	-3,66211	502	307,617	502	-1,2207
503	-4,88281	503	305,176	503	-1,2207
504	-6,10352	504	307,617	504	-2,44141
505	-6,10352	505	308,838	505	-3,66211
506	-4,88281	506	307,617	506	-3,66211
507	-6,10352	507	307,617	507	-1,2207
508	-3,66211	508	307,617	508	-1,2207
509	-4,88281	509	307,617	509	-1,2207
510	-2,44141	510	307,617	510	-3,66211
511	-4,88281	511	307,617	511	-2,44141
512	-2,44141	512	307,617	512	-2,44141
513	-4,88281	513	307,617	513	-2,44141
514	-3,66211	514	307,617	514	-1,2207
515	-2,44141	515	307,617	515	-1,2207
516	-3,66211	516	310,059	516	-1,2207
517	-2,44141	517	307,617	517	-2,44141
518	-4,88281	518	307,617	518	0
519	-3,66211	519	308,838	519	-1,2207
520	-3,66211	520	306,396	520	-1,2207
521	-6,10352	521	307,617	521	-2,44141
522	-4,88281	522	307,617	522	-1,2207
523	-6,10352	523	307,617	523	-2,44141
524	-3,66211	524	308,838	524	-1,2207
525	-4,88281	525	308,838	525	-1,2207
526	-6,10352	526	307,617	526	0
527	-3,66211	527	307,617	527	-1,2207
528	-3,66211	528	307,617	528	-2,44141
529	-2,44141	529	308,838	529	-2,44141
530	-3,66211	530	307,617	530	-2,44141
531	-6,10352	531	307,617	531	-1,2207
532	-3,66211	532	307,617	532	-2,44141
533	-3,66211	533	308,838	533	-2,44141
534	-6,10352	534	307,617	534	-2,44141
535	-2,44141	535	307,617	535	-1,2207
536	-4,88281	536	307,617	536	-3,66211
537	-2,44141	537	307,617	537	-1,2207
538	-3,66211	538	307,617	538	-1,2207
539	-3,66211	539	307,617	539	-1,2207
540	-2,44141	540	308,838	540	-2,44141
541	-7,32422	541	308,838	541	-2,44141
542	-4,88281	542	306,396	542	-2,44141
543	-4,88281	543	307,617	543	0
544	-6,10352	544	307,617	544	-3,66211
545	-6,10352	545	308,838	545	-3,66211
546	-6,10352	546	307,617	546	-2,44141
547	-6,10352	547	308,838	547	-1,2207
548	-6,10352	548	308,838	548	-1,2207
549	-4,88281	549	308,838	549	-2,44141
550	-4,88281	550	307,617	550	1,2207
551	-6,10352	551	307,617	551	-2,44141
552	-4,88281	552	308,838	552	-1,2207
553	-3,66211	553	307,617	553	-2,44141
554	-2,44141	554	307,617	554	-2,44141
555	-4,88281	555	307,617	555	-1,2207
556	-3,66211	556	308,838	556	-2,44141
557	-4,88281	557	307,617	557	0
558	-2,44141	558	307,617	558	-2,44141
559	-4,88281	559	307,617	559	-1,2207
560	-3,66211	560	307,617	560	-1,2207
561	-6,10352	561	307,617	561	-2,44141
562	-6,10352	562	307,617	562	0
563	-4,88281	563	308,838	563	-3,66211
564	-4,88281	564	308,838	564	-1,2207
565	-3,66211	565	308,838	565	-2,44141
566	-3,66211	566	307,617	566	-1,2207
